+,Result #,X,Date Published,Title,Inventor,8,Assignee,Application Number,Filing Date,Primary Examiner,Assistant Examiner,OR,XREF,Applicant Name,Notes,Notes/Tagged,Relevancy,C
1,1,,2024-12-19,ADAPTIVE DIGITAL THERAPY SYSTEM WITH REAL-TIME EMOTIONAL STATE ANALYSIS AND SYMBOLIC LANGUAGE COMMUNICATION,"Fox; Brian Patrick",,,18/670815,2024-05-22,,,1/1,,"Fox; Brian Patrick",,,52.146088,
2,2,,2017-11-30,ANTI-GALECTIN ANTIBODY BIOMARKERS PREDICTIVE OF ANTI-IMMUNE CHECKPOINT AND ANTI-ANGIOGENESIS RESPONSES,"Hodi; F. Stephen et al.",,,15/523519,2015-10-30,,,1/1,,"Dana-Farber Cancer Institute, Inc.",,,13.131397,
1,3,,2023-11-21,Apparatus and method for adjusting a user nourishment selection based on nutrient diversity,"Neumann; Kenneth",,"KPN INNOVATIONS, LLC.",17/833365,2022-06-06,"Blanchette; Joshua B",,1/1,,"KPN INNOVATIONS, LLC.",,,42.595654,
,4,,2024-06-27,APPARATUS AND METHOD OF DETERMINING A CONDITIONAL PROFILE ADJUSTMENT DATUM,"Neumann; Kenneth",,"KPN INNOVATIONS, LLC.",18/426102,2024-01-29,,,1/1,,"KPN INNOVATIONS, LLC.",,,51.306004,
,5,,2024-09-19,APPARATUS AND METHODS FOR AUGMENTING VISION WITH REGION-OF-INTEREST BASED PROCESSING,"Park; Edwin Chongwoo et al.",,"SoftEye, Inc.",18/613100,2024-03-21,,,1/1,,"SoftEye, Inc.",,,30.442753,
,6,,2016-10-04,Apparatus and methods for implementing event-based updates in neuron networks,"Sinyavskiy; Oleg et al.",,QUALCOMM TECHNOLOGIES INC.,13/588774,2012-08-17,"Chaki; Kakali","Pellett; Daniel",1/1,,"Sinyavskiy; Oleg,Izhikevich; Eugene",,,24.484049,
1,7,,2014-03-20,"Application of Z-Webs and Z-factors to Analytics, Search Engine, Learning, Recognition, Natural Language, and Other Utilities","Tadayon; Saied et al.",,,13/781303,2013-02-28,,,382/118,,"Tadayon; Saied,Tadayon; Bijan",,,22.987612,
3,8,,2018-01-11,APPROXIMATE VALUE ITERATION WITH COMPLEX RETURNS BY BOUNDING,"Wright; Robert et al.",,,15/359122,2016-11-22,,,1/1,,The Research Foundation for the State University New York,,,45.567215,
1,9,,2022-05-12,ARCHITECTURE FOR EXPLAINABLE REINFORCEMENT LEARNING,"DALLI; Angelo et al.",,UMNAI Limited,17/525395,2021-11-12,,,1/1,,UMNAI Limited,,,63.029675,
,10,,2022-02-01,Artificial intelligence assisted service provisioning and modification for delivering message-based services,"Nagaraja; Chandra et al.",,"Jiseki Health, Inc.",17/093596,2020-11-09,"Nguyen; Thanh T",,1/1,,"Jiseki Health, Inc.",,,18.503864,
,11,,2023-06-22,ARTIFICIAL INTELLIGENCE DEVELOPMENT AND UPGRADING USING A NEURO-SYMBOLIC METAMODEL,"Latapie; Hugo et al.",,,17/557734,2021-12-21,,,706/26,,"Cisco Technology, Inc.",,,80.03674,
,12,,2022-10-04,Artificial intelligence engine architecture for generating candidate drugs,"Lee; Francis et al.",,"Peptilogics, Inc.",17/339422,2021-06-04,"Borin; Michael L",,1/1,,"Peptilogics, Inc.",,,42.74436,
3,13,,2021-10-07,ARTIFICIAL INTELLIGENCE METHODS AND SYSTEMS FOR ANALYZING IMAGERY,"Neumann; Kenneth",,,16/837007,2020-04-01,,,1/1,,"KPN Innovations, LLC",,,43.281124,
,14,,2022-12-15,ARTIFICIAL INTELLIGENCE METHODS AND SYSTEMS FOR ANALYZING IMAGERY,"Neumann; Kenneth",,"KPN INNOVATIONS, LLC.",17/892894,2022-08-22,,,1/1,,"KPN INNOVATIONS, LLC.",,,43.438152,
,15,,2022-06-23,ASSESSMENT AND AUGMENTATION SYSTEM FOR OPEN MOTOR SKILLS,"May; Bérénice Mettler",,,17/558521,2021-12-21,,,1/1,,iCueMotion LLC,,,47.0758,
,16,,2022-09-22,AUDIO-VISUAL ACTIVITY SAFETY RECOMMENDATION WITH CONTEXT-AWARE RISK PROPORTIONAL PERSONALIZED FEEDBACK,"Krishna Murthy; RAGHAVENDRA et al.",,,17/207635,2021-03-20,,,1/1,,International Business Machines Corporation,,,48.38229,
2,17,,2020-07-21,"Augmented reality display system for evaluation and modification of neurological conditions, including visual processing and perception conditions","Samec; Nicole Elizabeth et al.",,"Magic Leap, Inc.",16/428275,2019-05-31,"Buttram; Todd",,1/1,,"Magic Leap, Inc.",,,24.849964,
1,18,,2015-07-02,AUTODIDACTIC COGNITIVE TRAINING DEVICE AND METHOD THEREOF,"Zhang; Hai Hong et al.",,,14/423614,2013-08-22,,,434/236,"600/300;600/476;600/558;600/559;600/544","Agency for Science, Technology and Research,National University of Singapore",,,29.875027,
,19,,2024-06-27,AUTOMATED GROUND TRUTH GENERATION USING A NEURO-SYMBOLIC METAMODEL,"LATAPIE; Hugo et al.",,,18/087976,2022-12-23,,,1/1,,"Cisco Technology, Inc.",,,80.360916,
,20,,2025-02-20,AUTOMATIC DIFFERENTIATION AND OPTIMIZATION OF HETEROGENEOUS SIMULATION INTELLIGENCE SYSTEM,"Lavin; Alexander",,,18/819325,2024-08-29,,,1/1,,"Pasteur Labs, Inc.",,,62.49808,
,21,,2025-03-13,AUTOMATIC LABELING AND EVENT DETECTION FOR VIDEO ANALYTICS USING HYBRID AI,"Latapie; Hugo et al.",,,18/243819,2023-09-08,,,1/1,,"Cisco Technology, Inc.",,,85.86029,
,22,,2024-07-04,AUTOMATIC MEDIA PRODUCTION RISK ASSESSMENT USING ELECTRONIC DATASET,"Larkin; Mary et al.",,,17/441685,2020-03-20,,,1/1,,WARNER BROS. ENTERTAINMENT INC.,,,33.28219,
,23,,2024-06-27,AUTOMATIC METAMODEL GENERATION FOR ARTIFICIAL INTELLIGENCE REASONING,"Latapie; Hugo et al.",,,18/086886,2022-12-22,,,1/1,,"Cisco Technology, Inc.",,,79.31262,
1,24,,2019-10-17,Automatic Robot Perception Programming by Imitation Learning,"Gonzalez Aguirre; David I. et al.",,,16/455190,2019-06-27,,,1/1,,Intel Corporation,,,35.37197,
4,25,,2022-12-15,AUTOMATIC XAI (AUTOXAI) WITH EVOLUTIONARY NAS TECHNIQUES AND MODEL DISCOVERY AND REFINEMENT,"DALLI; Angelo et al.",,UMNAI Limited,17/836569,2022-06-09,,,1/1,,UMNAI Limited,,,62.95787,
,26,,2024-10-03,BACKGROUND THEORY-BASED METHOD FOR REFINEMENT AND EVALUATION OF FUNCTIONAL MODELS EXTRACTED FROM NUMERICAL DATA,"Horesh; Lior et al.",,,18/194605,2023-03-31,,,1/1,,INTERNATIONAL BUSINESS MACHINES CORPORATION,,,26.001022,
2,27,,2022-05-19,"BEHAVIORAL PREDICTION AND BOUNDARY SETTINGS, CONTROL AND SAFETY ASSURANCE OF ML & AI SYSTEMS","DALLI; Angelo et al.",,UMNAI Limited,17/525602,2021-11-12,,,1/1,,UMNAI Limited,,,65.56187,
2,28,,2022-03-03,"BEHAVIOUR MODELING, VERIFICATION, AND AUTONOMOUS ACTIONS AND TRIGGERS OF ML AND AI SYSTEMS","DALLI; Angelo et al.",,UMNAI Limited,17/459091,2021-08-27,,,1/1,,UMNAI Limited,,,56.311977,
,29,,2025-01-14,Binary neural network based central processing unit,"Gu; Jie et al.",,NORTHWESTERN UNIVERSITY,17/347233,2021-06-14,"Sun; Scott C",,1/1,,NORTHWESTERN UNIVERSITY,,,45.320656,
1,30,,2005-03-31,Binaural adaptive hearing aid,"Haykin, Simon  et al.",,,10/733451,2003-12-12,,,381/312,381/313,,,,38.301033,
2,31,,2018-04-05,BIOLOGICAL CO-PROCESSOR (BCP),"Howard; Newton",,,15/495959,2017-04-24,,,1/1,,"Howard; Newton",,,39.095734,
1,32,,2025-02-13,BODY FLUID MOVEMENT SYSTEM,"Brubaker; William et al.",,,18/906270,2024-10-04,,,1/1,,"Brubaker; William,Davis; Paul",,,42.559975,
,33,,2025-07-10,BODY FLUID MOVEMENT SYSTEM WITH ONE OR MORE SENSORS AND ARTIFICIAL INTELLIGENCE,"Brubaker; William et al.",,,18/405198,2024-01-05,,,1/1,,"Brubaker; William,Davis; Paul",,,48.354332,
,34,,2025-04-29,Body fluid movement system with one or more sensors coupled to a patient remote monitoring system,"Brubaker; Wiiliam et al.",,,18/405565,2024-01-05,"Su; Susan S","Kim; Erin A",1/1,,"Brubaker; Wiiliam,Davis; Paul",,,46.055405,
1,35,,2020-11-24,Camera-guided interpretation of neuromuscular signals,"Berenzweig; Adam et al.",,"Facebook Technologies, LLC",16/557427,2019-08-30,"Saini; Amandeep",,1/1,,"Facebook Technologies, LLC",,,38.73625,
,36,,2022-06-02,CAR T CELL TRANSCRIPTIONAL ATLAS,"Boroughs; Angela et al.",,,17/289844,2019-10-29,,,1/1,,"The Broad Institute, Inc.,Massachusetts Institute of Technology,The General Hospital Corporation",,,10.710142,
1,37,,2021-11-11,CHARACTERIZING CONTENT FOR AUDIO-VIDEO DUBBING AND OTHER TRANSFORMATIONS,"Duncan; Grant L. et al.",,,17/233443,2021-04-17,,,1/1,,WARNER BROS. ENTERTAINMENT INC.,,,26.86362,
,38,,2024-11-21,COMPOSITE SYMBOLIC AND NON-SYMBOLIC ARTIFICIAL INTELLIGENCE SYSTEM FOR ADVANCED REASONING AND SEMANTIC SEARCH,"Crabtree; Jason et al.",,,18/783404,2024-07-24,,,1/1,,QOMPLX LLC,,,77.20627,
3,39,,2015-01-22,COMPOSITIONS AND METHODS FOR DIAGNOSIS AND TREATMENT OF PERVASIVE DEVELOPMENTAL DISORDER,"Narain; Niven Rajin et al.",,,14/383450,2013-03-05,,,424/130.1,"506/10;506/8;506/9;514/13.5;424/94.4;514/17.5;436/501;435/7.92;424/94.5;435/6.12;435/6.11;424/94.63;424/94.6;435/7.21",Berg LLC,,,8.177214,
1,40,,2019-07-04,"COMPOSITIONS AND METHODS FOR IDENTIFICATION, ASSESSMENT, PREVENTION, AND TREATMENT OF AML USING USP10 BIOMARKERS AND MODULATORS","Buhrlage; Sara et al.",,,16/331712,2017-09-20,,,1/1,,"BUHRLAGE; Sara,WEISBERG; Ellen,GRIFFIN; James Douglas,Dana-Farber Cancer Institute, Inc.",,,16.63881,
,41,,2024-08-15,COMPUTER GRAPHICS PROCESSING AND SELECTIVE VISUAL DISPLAY SYSTEM,"DeCharms; Richard Christopher",,,18/441461,2024-02-14,,,1/1,,"DeCharms; Richard Christopher",,,15.656349,
2,42,,2021-07-15,Computer System for Crisis State Detection and Intervention,"Heimerl; Kristen M.",,,17/141019,2021-01-04,,,1/1,,"Heimerl; Kristen M.",,,40.212704,
,43,,2018-11-27,Configuring a virtual companion,"Fanty; Mark Alan et al.",,"The Affinity Project, Inc.",15/229070,2016-08-04,"Grant; Michael",,1/1,,"The Affinity Project, Inc.",,,28.750313,
,44,,2025-03-20,CONSERVING FLASH SYSTEM CONTROLLER BANDWIDTH BY OFFLOADING STORAGE SYSTEM OPERATIONS,"KANNAN; HARI et al.",,,18/959068,2024-11-25,,,1/1,,"PURE STORAGE, INC.",,,58.37252,
2,45,,2020-12-31,CONTENT GENERATION AND CONTROL USING SENSOR DATA FOR DETECTION OF NEUROLOGICAL STATE,"Chappell, III; Arvel A. et al.",,,16/923053,2020-07-07,,,1/1,,WARNER BROS. ENTERTAINMENT INC.,,,41.86227,
,46,,2020-11-10,Continuous time alignment of a collection of independent sensors,"Abrami; Avner et al.",,INTERNATIONAL BUSINESS MACHINES CORPORATION,16/022553,2018-06-28,"Ndiaye; Cheikh T",,1/1,,INTERNATIONAL BUSINESS MACHINES CORPORATION,,,64.92792,
,47,,2023-02-16,"CONTROLLING PROGRESS OF AUDIO-VIDEO CONTENT BASED ON SENSOR DATA OF MULTIPLE USERS, COMPOSITE NEURO-PHYSIOLOGICAL STATE AND/OR CONTENT ENGAGEMENT POWER","Chappell, III; Arvel et al.",,,17/963741,2022-10-11,,,1/1,,Warner Bros. Entertainment Inc.,,,40.572826,
5,48,,2020-12-29,"Curated sentiment analysis in multi-layer, machine learning-based forecasting model using customized, commodity-specific neural networks","Blair; Thomas N. et al.",,"AGBLOX, INC.",16/945169,2020-07-31,"Bernardi; Brenda C",,1/1,,"AGBLOX, INC.",,,72.85059,
5,49,,2019-10-24,DATA MONITORING SYSTEMS AND METHODS TO UPDATE INPUT CHANNEL ROUTING IN RESPONSE TO AN ALARM STATE,"Cella; Charles Howard et al.",,,16/458066,2019-06-30,,,1/1,,"Strong Force IoT Portfolio 2016, LLC",,,68.147125,
,50,,2020-12-31,DETECTION OF CATECHOLAMINE LEVELS INSIDE THE NEUROCRANIUM,"Howard; Newton",,,16/944977,2020-07-31,,,1/1,,"Howard; Newton",,,55.54019,
,51,,2022-10-25,"Devices, systems, and methods for controlling computing devices via neuromuscular signals of users","Anderson; Christopher et al.",,"Meta Platforms Technologies, LLC",17/469537,2021-09-08,"Merkoulova; Olga V",,1/1,,"Meta Platforms Technologies, LLC",,,39.38492,
3,52,,2019-01-03,DIAGNOSIS TAILORING OF HEALTH AND DISEASE,"Narayan; Sanjiv M. et al.",,,15/636056,2017-06-28,,,1/1,,Incyphae Inc.,,,42.510773,
,53,,2024-08-01,"DIGITAL MEASUREMENT STACKS FOR CHARACTERIZING DISEASES, MEASURING INTERVENTIONS, OR DETERMINING OUTCOMES","Langel; Kai et al.",,,18/558925,2022-05-06,,,1/1,,Janssen Pharmaceutica NV,,,22.692972,
,54,,2021-07-13,Discovering genomes to use in machine learning techniques,"Grouchy; Paul et al.",,Analytics For Life Inc.,15/653441,2017-07-18,"Puentes; Daniel C",,1/1,,Analytics For Life Inc.,,,38.805912,
1,55,,2021-10-05,"Discovering novel features to use in machine learning techniques, such as machine learning techniques for diagnosing medical conditions","Grouchy; Paul et al.",,Analytics For Life Inc.,15/653433,2017-07-18,"Cole; Brandon S",,1/1,,Analytics For Life Inc.,,,41.108643,
1,56,,2021-11-11,DISTRIBUTED ARCHITECTURE FOR EXPLAINABLE AI MODELS,"DALLI; Angelo et al.",,UMNAI Limited,17/314335,2021-05-07,,,1/1,,UMNAI Limited,,,45.07189,
6,57,,2021-04-15,DISTRIBUTED NETWORKED LAUNDRY MACHINE CONTROL AND OPERATION,"Patterson; Tristan Scott et al.",,,17/065774,2020-10-08,,,1/1,,Clarified Inc.,,,64.66669,
,58,,2024-10-31,DOMAIN TRANSFORMATION TO AN IMMERSIVE VIRTUAL ENVIRONMENT USING ARTIFICIAL INTELLIGENCE,"PRASAD; Rahul Krishna et al.",,,18/308671,2023-04-27,,,1/1,,International Business Machines Corporation,,,27.976795,
,59,,2023-06-08,EDGE TO CLOUD METAMODEL-BASED ARTIFICIAL GENERAL INTELLIGENCE,"Latapie; Hugo et al.",,,17/545152,2021-12-08,,,706/25,,"Cisco Technology, Inc.",,,77.25942,
,60,,2025-01-14,Efficient temporal memory for sparse binary sequences,"Fischer; Volker",,ROBERT BOSCH GMBH,17/103833,2020-11-24,"Chiusano; Andrew T",,1/1,,Robert Bosch GmbH,,,27.110218,
,61,,2025-07-03,ELECTRICAL AUDIO SIGNAL PROCESSING SYSTEMS AND DEVICES,"DeCharms; Richard Christopher",,,18/440930,2024-02-13,,,1/1,,"DeCharms; Richard Christopher",,,15.675997,
1,62,,2022-03-03,ELECTRONICALLY ASSISTED CHEMICAL STIMULUS FOR SYMPTOM INTERVENTION,"Robison; Jeremiah et al.",,,17/411968,2021-08-25,,,1/1,,"Cionic, Inc.",,,22.53788,
,63,,2025-03-13,ENCODING DATA FOR AND DECODING DATA FROM IN VITRO NEURON STIMULATION,"Kagan; Brett Joseph et al.",,,18/823103,2024-09-03,,,1/1,,CCLabs Pty Ltd,,,41.88574,
,64,,2016-08-09,Event-based communication in spiking neuron networks communicating a neural activity payload with an efficacy update,"Szatmary; Botond et al.",,QUALCOMM TECHNOLOGIES INC.,13/868944,2013-04-23,"Vincent; David",,1/1,,QUALCOMM TECHNOLOGIES INC.,,,21.887976,
3,65,,2021-07-29,EXPLAINABLE NEURAL NET ARCHITECTURE FOR MULTIDIMENSIONAL DATA,"DALLI; Angelo et al.",,UMNAI Limited,17/155299,2021-01-22,,,1/1,,UMNAI Limited,,,47.86976,
3,66,,2022-06-23,EXPLAINABLE TRANSDUCER TRANSFORMERS,"DALLI; Angelo et al.",,UMNAI Limited,17/554286,2021-12-17,,,1/1,,UMNAI Limited,,,74.09636,
,67,,2024-09-26,EXPLAINING NEURO-SYMBOLIC REINFORCEMENT LEARNING REASONING,"Kimura; Daiki et al.",,,18/187018,2023-03-21,,,1/1,,International Business Machines Corporation,,,52.185757,
1,68,,2022-04-14,EXPLANATION AND INTERPRETATION GENERATION SYSTEM,"DALLI; Angelo et al.",,UMNAI Limited,17/500146,2021-10-13,,,1/1,,UMNAI Limited,,,72.547356,
1,69,,2021-09-09,FEDERATED ARTIFICIAL INTELLIGENCE WITH CUMULATIVE LEARNING IN A COMPUTER NETWORK,"Latapie; Hugo et al.",,,16/811806,2020-03-06,,,1/1,,"Cisco Technology, Inc.",,,81.78061,
,70,,2022-01-20,FEEDBACK FROM NEUROMUSCULAR ACTIVATION WITHIN VARIOUS TYPES OF VIRTUAL AND/OR AUGMENTED REALITY ENVIRONMENTS,"KAIFOSH; Patrick et al.",,,17/293472,2019-11-15,,,1/1,,"Facebook Technologies, LLC",,,37.731735,
,71,,2024-07-23,First-order logical neural networks with bidirectional inference,"Riegel; Ryan Nelson et al.",,International Business Machines Corporation,17/063899,2020-10-06,"Chen; Alan",,1/1,,International Business Machines Corporation,,,31.355726,
3,72,,2018-10-11,FUNDAMENTAL CODE UNIT OF THE BRAIN: TOWARDS A NEW MODEL FOR COGNITIVE GEOMETRY,"Howard; Newton",,,16/000783,2018-06-05,,,1/1,,"Howard; Newton",,,29.993898,
,73,,2024-05-30,FUNDAMENTAL CODE UNIT OF THE BRAIN: TOWARDS A NEW MODEL FOR COGNITIVE GEOMETRY,"Howard; Newton",,,18/432595,2024-02-05,,,1/1,,"Howard; Newton",,,29.441362,
3,74,,2006-07-27,Game theoretic prioritization scheme for mobile ad hoc networks permitting hierarchal deference,"Hoffberg; Steven M.",,,11/005460,2004-12-06,,,705/37,,,,,28.255173,
,75,,2023-05-11,GENERATING A MATERIAL PROPERTY MAP OF A COMPUTER MODEL OF A MATERIAL BASED ON A SET OF MICRO-SCALE IMAGES,"GARCÉS; Elena et al.",,"SEDDI, INC.,DESILICO S.L.",17/917599,2020-05-22,,,345/428,,"SEDDI, INC.,DESILICO S.L.",,,47.725327,
4,76,,2022-08-23,Generating anti-infective design spaces for selecting drug candidates,"Lee; Francis et al.",,"Peptilogics, Inc.",17/404657,2021-08-17,"Weng; Pei Yong",,1/1,,"Peptilogics, Inc.",,,40.30759,
3,77,,2019-05-16,GENERATION OF JOB FLOW OBJECTS IN FEDERATED AREAS FROM DATA STRUCTURE,"Jin; Minna et al.",,SAS Institute Inc.,16/226828,2018-12-20,,,718/104,,SAS Institute Inc.,,,35.82744,
,78,,2021-12-09,HLA SINGLE ALLELE LINES,"Keskin; Derin et al.",,,17/280380,2019-10-02,,,1/1,,"Dana-Farber Cancer Institute, Inc.,The General Hospital Corporation,The Broad Institute, Inc.",,,25.145697,
,79,,2024-01-25,HUMAN-ASSISTED NEURO-SYMBOLIC OBJECT AND EVENT MONITORING,"QASEMI; Ehsan et al.",,,17/871335,2022-07-22,,,1/1,,Robert Bosch GmbH,,,75.822784,
2,80,,2020-01-09,IDENTIFYING AND STRENGTHENING PHYSIOLOGICAL/NEUROPHYSIOLOGICAL STATES PREDICTIVE OF SUPERIOR PERFORMANCE,"BACH; DAVID et al.",,,16/504098,2019-07-05,,,1/1,,Platypus Institute,,,39.136356,
,81,,2022-04-07,"INDUSTRIAL DIGITAL TWIN SYSTEMS AND METHODS WITH ECHELONS OF EXECUTIVE, ADVISORY AND OPERATIONS MESSAGING AND VISUALIZATION","Cella; Charles H. et al.",,"STRONG FORCE IOT PORTFOLIO 2016, LLC",17/493440,2021-10-04,,,1/1,,"STRONG FORCE IOT PORTFOLIO 2016, LLC",,,74.21974,
,82,,2023-07-06,INTELLIGENT ASSESSMENT AND ANALYSIS OF MEDICAL PATIENTS,"CHEVALIER; Éric et al.",,,18/000751,2021-06-16,,,705/2,,"NuVasive, Inc.",,,66.2507,
1,83,,2022-10-27,INTELLIGENT INTERPRETATION OF TEMPORAL EXPRESSIONS,"BHATTACHARYA; Pamela et al.",,"MICROSOFT TECHNOLOGY LICENSING, LLC",17/230300,2021-04-14,,,1/1,,"MICROSOFT TECHNOLOGY LICENSING, LLC",,,37.950363,
,84,,2021-05-27,INTELLIGENT VIBRATION DIGITAL TWIN SYSTEMS AND METHODS FOR INDUSTRIAL ENVIRONMENTS,"Cella; Charles H. et al.",,"STRONG FORCE IOT PORTFOLIO 2016, LLC",17/104964,2020-11-25,,,1/1,,"STRONG FORCE IOT PORTFOLIO 2016, LLC",,,74.29873,
1,85,,2022-11-10,Interactive Graphical User Interface for Monitoring Computer Models,"Roberts; Terisa et al.",,,17/860501,2022-07-08,,,1/1,,SAS Institute Inc.,,,55.803677,
,86,,2019-08-20,Interactive visualization tool for designed experiments,"King; Caleb Bridges et al.",,SAS Institute Inc.,16/240182,2019-01-04,"Thompson; James A",,1/1,,SAS Institute Inc.,,,50.906136,
,87,,2024-06-27,INTERPRETABILITY OF DECISION MAKING METHODS,"Hoang; Lan Ngoc et al.",,,18/145846,2022-12-22,,,1/1,,INTERNATIONAL BUSINESS MACHINES CORPORATION,,,52.634293,
1,88,,2022-05-05,INTERPRETABLE NEURAL NETWORK,"DALLI; Angelo et al.",,UMNAI Limited,17/519217,2021-11-04,,,706/27,,UMNAI Limited,,,64.03212,
,89,,2024-04-25,Knowledge Graph Rule Induction,"Dash; Sanjeeb et al.",,,17/963282,2022-10-11,,,1/1,,International Business Machines Corporation,,,22.300442,
,90,,2024-10-24,"KNOWLEDGE-DRIVEN AUTOMATION PLATFORM TO CONNECT, CONTEXTUALIZE, AND CONTROL ARTIFICIAL INTELLIGENCE TECHNOLOGIES INCLUDING GENERATIVE AI REPRESENTING A PRACTICAL IMPLEMENTATION OF NEURO-SYMBOLIC AI","DUGGAL; Dave M. et al.",,ENTERPRISEWEB LLC,18/638378,2024-04-17,,,1/1,,ENTERPRISEWEB LLC,,,66.01584,
